微博id,微博正文,头条文章url,原始图片url,被转发微博原始图片url,是否为原创微博,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
NzPIksAnd,"转发理由:#微博辟谣# 中国人民银行征信中心：提供征信修复并借此敛财均为诈骗  
原始用户: 中国互联网联合辟谣平台
转发内容: #联合辟谣##微博辟谣#【中国人民银行征信中心：#提供征信修复并借此敛财均为诈骗#】近日，中国人民银行征信中心发现有诈骗分子以“消除网贷查询记录”为名，诱导社会公众通过征信中心的互联网个人信用信息服务平台提交个人征信异议申请，并以消除网贷查询记录为诱饵骗取公众钱财，实施诈骗活动。为此，中国人民银行征信中心郑重声明：征信中心的互联网平台提供个人异议申请服务，该项服务不向信息主体和其他主体收取任何费用。任何提供所谓“征信修复”并借此敛财的均为诈骗行为。 http://t.cn/A6l82qWz 原图 ",,无,https://wx2.sinaimg.cn/large/0077EbVbly1hldxkihuzmj30j60m0tcl.jpg,False,无,无,2024-01-01 16:01,HUAWEI P40 Pro 5G,1,1,1
NzNImdSZ5,"转发理由:#微博辟谣# 寺庙辟谣举行资产千万高端相亲会：主办方擅自发布  
原始用户: 新黄河
转发内容: 【#寺庙辟谣举行资产千万高端相亲会#：主办方擅自发布】近日，一张“资产千万高端局之法喜寺心觅之旅”的宣传海报在网上流传。根据海报内容显示，12月30日在杭州著名寺庙法喜寺举办“脱单”活动，值得注意的是，活动门槛要求相当高：男士要年薪100万以上、资产2000万、身高178厘米以上，有房、要帅。12月30日，新黄河记者按照海报所写的时间、地点前往实地了解情况。法喜寺、宋禧会均表示，根本没有这项活动，是某主办方未经他们同意擅自对外发布，他们都是受害方。宋禧会一位负责人表示，杭州西湖风景名胜区灵隐管理处及公安、市场监管等多个部门正在核实调查此事。（记者：陈国亮）@新黄河 #杭州[地点]# http://t.cn/A6lm5vBv ",,无,无,False,无,无,2024-01-01 10:56,HUAWEI P40 Pro 5G,3,1,1
NzH6Km9Nm,"转发理由:#微博辟谣# 邯郸网警出重拳严打整治网络谣言  
原始用户: 邯郸新闻网
转发内容: #邯郸# 【邯郸网警出重拳严打整治网络谣言】网络谣言危害严重，广大网民深恶痛绝。近期，邯郸市公安局按照公安部、省公安厅打击整治网络谣言专项行动工作安排，始终保持对网络谣言的严打高压态势，不断提升网民用网安全感，优化营商网络环境，取得了显著成效。2023年以来，邯郸警方共清理网络谣言信息199条，打击查处网络谣言案件71起，行政处罚38人，批评教育128人，关停违法违规账号37个，整治互联网企业网站25家，有效净化了我市网络空间。现公布5起打击网络谣言的典型案例：1、依法查处肖某编造发布“一女子用零食诱骗小朋友后进行屠杀”网络谣言案。2023年5月，网民肖某为博取关注，在某网站平台编造发布“一女子买了两三百元零食，诱骗多名在小区玩耍的小朋友跟其回家，到家后开始疯狂的屠杀”的谣言信息，在当地引发一定范围传播扩散，造成不良影响。经邯山公安分局依法调查，肖某对违法行为供认不讳，公安机关已依法对肖某进行行政处罚，并对其造谣网络账号采取关停注销措施。2、依法查处计某、魏某编造发布“邯郸某面粉生产企业添加致癌物硼砂”网络谣言案。2023年7月，网民计某、魏某在某平台发布视频称“邯郸某企业生产的面粉因添加致癌物硼砂被查，你家吃了吗”。该信息涉及邯郸市重点企业食品安全，经多方核实，该企业未发生此类食品安全事故，此信息属谣言信息，破坏了我市营商环境和经济秩序。经大名县公安局依法调查，计某、魏某对其违法行为供认不讳，其为了博取眼球，赚取流量，使用AI剪辑视频软件制作发布了该企业添加致癌物硼砂的谣言信息。公安机关已依法对计某、魏某进行行政处罚，并对其造谣网络账号采取关停注销措施。3、依法查处张某编造发布“病猪肉已进入菜市场”网络谣言案。2023年11月，网民刘某为博取关注，在某平台发布视频并配文字称“邯郸市民注意了，病猪肉已进入地铁市场”。经多方核实，该视频为虚假不实消息，严重误导群众认知，造成了不良的社会影响。经邯山公安分局依法调查，张某对其违法事实供认不讳，公安机关已依法对张某进行行政处罚，并对其造谣网络账号采取关停注销措施。4、依法查处冯某编造发布“首富婚礼，警车开道”网络谣言案。2023年12月，网民冯某在某平台发布视频，内容为一婚礼车队从邯郸市内一道路驶过，视频里有一警车闪烁警灯停靠在道路右侧，视频配乐为警笛拉动急促声音，该视频并配发文字称“首富婚礼，警车开道是一种什么体验”。经核实，警车闪烁警灯停靠路边为正常勤务活动，与婚车通过毫不相干，该视频为虚假不实信息。该视频一经发布，在网上被迅速“围观”，多人点赞、评论和转发，甚至被短视频平台关联推荐相关搜索“结婚可以申请警车开路吗”，该视频严重误导群众认知，造成了恶劣的社会影响。经大名县公安局依法调查，冯某对其违法事实供认不讳。据冯某交代，其是婚车车队工作人员，在路边拍摄婚车车队通过时，恰好视频内出现了一辆公安执勤车辆，该冯为其婚礼车队短视频平台账号增加粉丝，博取流量，引起关注，在视频中编造了警车为首富婚礼车辆开道的谣言。公安机关已依法对冯某进行行政处罚，并对其造谣网络账号采取关停注销措施。5、依法查处刘某“摆拍打架视频”编造网络谣言案。2023年12月，网民刘某在某平台发布视频，内容为两人在雪地上撕扯扭打在一起，并配发文字“河北最新消息，因两个孩子玩雪不小心碰到对方，两个母亲打了起来”和急促紧张的音乐。该视频一经发布，被广大网民迅速“围观”，并在评论区中@河北公安，引发群众担忧，造成了不良的社会影响。经多方核实，该视频所述为虚假不实消息。经丛台公安分局依法调查，刘某对其违法事实供认不讳。据刘某交代，其为了博取网民关注、增加粉丝、吸引流量，找人在雪地上打闹玩耍进行拍摄，掐头去尾剪辑视频，配以不实文字，编造了虚假谣言信息进行发布。公安机关已依法对刘某进行行政处罚，并对其造谣网络账号采取关停注销措施。据了解，公安部决定将2024年作为打击整治网络谣言专项行动年，为确保社会大局持续稳定，全力维护人民群众合法权益，邯郸公安机关将继续坚持打防管控一体推进，持续加大全链条、全平台、全领域打击力度，多措并举推动打击整治走深走实，忠实履行好维护国家安全和社会稳定、守护人民幸福和安宁的神圣职责。同时，提醒我市广大网民和互联网企业，坚决做到“不造谣、不信谣、不传谣”，共同维护我市清朗网络空间。（来源：邯郸网警） 原图 ",,无,https://wx1.sinaimg.cn/large/b6c2b37dly1hlcsa4y47oj20sg0izdi3.jpg,False,无,无,2023-12-31 18:07,HUAWEI P40 Pro 5G,2,0,0
NzGORzloq,"转发理由:#微博辟谣# 陕西警方公布6起打谣典型案例  
原始用户: 陕西网警
转发内容: 我发表了头条文章:《陕西警方公布6起打谣典型案例》 陕西警方公布6起打谣典型案例  ",,无,无,False,无,无,2023-12-31 17:23,HUAWEI P40 Pro 5G,1,0,0
NzGyckQcY,"转发理由:#微博辟谣# 廊坊网警依法处罚一名编造谣言网民  
原始用户: 廊坊网警
转发内容: 发布了头条文章：《廊坊网警依法处罚一名编造谣言网民》  廊坊网警依法处罚一名编造谣言网民  ",,无,无,False,无,无,2023-12-31 16:41,HUAWEI P40 Pro 5G,0,0,0
NzF2nizJ3,"转发理由:#微博辟谣# 12月31日|今晚跨年夜，这类传言，莫信！  
原始用户: 武汉广播电视台
转发内容: #武汉日历#【12月31日|今晚跨年夜，这类传言，莫信！】2024年元旦临近，近日，多地发布通知称不组织跨年夜活动，通知涉及城市商圈及景区等地。武汉警方称，2023年12月31日，江汉关、汉口江滩及江汉路步行街等公共场所没有组织任何形式的大型群众活动。12月31日18时起，江汉关钟楼停止敲钟。“两江四岸”灯光秀也无零点倒计时活动。届时，警方现场将视情实施人流疏导和临时交通管控措施。同时，警方特别提醒：沿江大道龙王庙至长江二桥路段道路及两侧500米内区域上空空域和人流聚集现场将对孔明灯、空飘气球和无人机等“低慢小”飞行物采取严格管控，任何未经许可的“低慢小”飞行物均禁止使用，对违反相关规定者，警方将依法予以查处。警方将会同市场监管、城管等部门在沿江大道、中山大道及江汉路步行街及江滩区域联合执法，依法查处违规销售空飘气球及孔明灯行为。#跨年文案##当时间轴穿透2023年# 原图 ",,无,https://wx4.sinaimg.cn/large/69c06068gy1hlcrn4qlkxj20zk0m8tar.jpg,False,无,无,2023-12-31 12:50,HUAWEI P40 Pro 5G,2,0,0
NzxpBo955,"转发理由:#微博辟谣# 江苏公安公布打击整治网络谣言专项行动8起典型案例   
原始用户: 平安江苏
转发内容: 江苏公安公布打击整治网络谣言专项行动8起典型案例 江苏公安公布打击整治网络谣言专项行动8起典型案例  ",,无,无,False,无,无,2023-12-30 17:26,HUAWEI P40 Pro 5G,2,0,0
NzwLa9ga3,"转发理由:#微博辟谣#虚假人设、编撰剧情，凉山“网红乱象”案宣判：多名百万粉丝网红获刑  
原始用户: 红星新闻
转发内容: 【#凉山多名百万级网红被判刑#！#赵灵儿曲布等多名百万粉丝网红被判刑#】12月28日，四川凉山，昭觉县人民法院一审宣判，网红公司法定代表人张某、网红主播赵某（赵灵儿）、阿日某某（曲布）等9人分别被判8个月至3年2个月不等的有期徒刑。2022年8月，赵灵儿和曲布“偶遇”视频迅速在网络上走红，两人的账号粉丝量均突破200万。此后，两人开始频繁直播带货之路，开启了一段看似充满正能量的助农、创业的“美好故事”。然而，这背后却隐藏着一条打造虚假人设孵化网红，通过编撰剧情拍摄视频，再到后端农产品供应流量变现的制假售假灰色产业链。2023年9月20日，四川省凉山州举行新闻发布会，通报以“曲布”“赵灵儿”为主要代表团队的网红直播带货案，这是凉山警方破获的全省首例“网红经济”乱象专案。该团队打着“助农”“优质原生态”等旗号，将假冒大凉山农特产品销售至全国20余个省份，销售额超千万。短短数月，该团队背后的网红公司老板张某非法牟利达300万元以上，两名主播非法收入均在70万元以上。2023年7月，因涉嫌假冒注册商标罪、虚假广告罪，张某等多名嫌疑人被批准逮捕。#凉山网红乱象案宣判# http://t.cn/A6l84HT2  http://t.cn/A6l8lumE ",,无,无,False,无,无,2023-12-30 15:46,HUAWEI P40 Pro 5G,4,7,1
NzwB0Aj9Y,"转发理由:#微博辟谣#多地通知：没有跨年夜活动！有人传谣已被约谈  
原始用户: 中国青年报
转发内容: 【多地通知：没有跨年夜活动！有人传谣已被约谈......】近日，在网络平台上流传着一则关于“2024年福州泉州跨年活动”的消息。鲤城区相关部门称，鲤城区并无计划在钟楼举办此类活动。目前，公安机关已约谈部分不实信息发布者。12月26日，据上海人民广播电视台报道：外滩、北外滩和小陆家嘴地区不展演主题光影秀，不组织零点倒计时活动。@广州越秀公安 发通告称：北京路商圈、海珠广场、越秀公园、二沙岛、东山口、中华广场等公共场所，跨年夜没有组织任何形式的大型群众性活动。武汉警方称，2023年12月31日，江汉关、汉口江滩及江汉路步行街等公共场所没有组织任何形式的大型群众活动。12月31日18时起，江汉关钟楼停止敲钟。“两江四岸”灯光秀也无零点倒计时活动。届时，警方现场将视情实施人流疏导和临时交通管控措施。http://t.cn/A6l80vYg 原图 ",,无,https://wx4.sinaimg.cn/large/001SRYirly1hlazpxhedaj60u00q5whj02.jpg,False,无,无,2023-12-30 15:21,HUAWEI P40 Pro 5G,3,0,0
Nzw8TiT2Z,"转发理由:#微博辟谣# 江西警方公布“打谣”典型案例  
原始用户: 江西网警
转发内容: 发布了头条文章：《“打谣”典型案例！江西警方公布》  “打谣”典型案例！江西警方公布  ",,无,无,False,无,无,2023-12-30 14:12,HUAWEI P40 Pro 5G,0,0,0
