微博id,微博正文,头条文章url,原始图片url,被转发微博原始图片url,是否为原创微博,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
OuZcqocEd,"转发理由:#微博辟谣# 男子对女交警吹口哨被罚款扣分？昆明警方：P图，已处罚  
原始用户: 澎湃新闻
转发内容: #警方辟谣男子对女交警吹口哨被罚款#【男子对女交警吹口哨被罚款扣分？昆明警方：P图，已处罚】昆明一男子在短视频平台发布“因开车对女交警吹口哨被罚款200元，扣6分”违章处理界面截图博取流量。经核实，男子用“模版改字P图”功能恶意制作，已被警方处罚。 澎湃新闻的微博视频  ",,无,无,False,无,无,2024-09-01 17:43,无,0,2,1
OuX2HBZPL,"转发理由:#微博辟谣# 警方辟谣婴儿被遗弃出租屋 ：不存在遗弃行为，多方已展开救助  
原始用户: 新京报我们视频
转发内容: 【#警方辟谣婴儿被遗弃出租屋# ：不存在遗弃行为 多方已展开救助】#胶州出租屋婴儿并未被遗弃# 8月31日，有网友称山东胶州一婴儿被遗弃在出租屋内，引发网络关注。记者从当地爱心人士处获悉，目前孩子已被送往医院救治，生命体征平稳，但存在营养不良。孩子父亲称，孩子一直由母亲抚养，自己在外务工，得知此事后已赶赴医院看望。记者从属地云溪派出所获悉，孩子父母并不存在遗弃行为，目前已组织社会上的力量，协同当地政府积极安置安顿孩子。（记者：赵亚楠 制作：王子轩） http://t.cn/A6RS3OJv ",,无,无,False,无,无,2024-09-01 12:13,无,0,3,0
OuWJVmGJb,"转发理由:#微博辟谣# 柳城一男子散播谣言，被依法处理！  
原始用户: 柳州消防
转发内容: #微博辟谣#【#柳州# 柳城一男子散播谣言，被依法处理！】请广大市民不要传播不实信息，以官方发布权威信息为准。预防火灾，人人有责，让我们共同努力，营造平安和谐环境。 柳城一男子散播谣言，被依法处理！ 柳州  ",,无,无,False,无,无,2024-09-01 11:27,无,0,1,0
OuQBOfMGl,"转发理由:#微博辟谣# 曹县籍网民袁某发布虚假信息侮辱他人，被警方依法给予行政处罚   
原始用户: 曹县网警
转发内容: 曹县公安警情通报  原图 ",,无,https://wx1.sinaimg.cn/large/006qf56gly1ht77lnxg7dj30co0gm78m.jpg,False,无,无,2024-08-31 19:51,无,0,0,0
OuQj6xU6F,"转发理由:#微博辟谣# 造谣必严惩 定陶网安依法处罚2人  
原始用户: 定陶网警
转发内容: 发布了头条文章：《【典型案例】造谣必严惩 定陶网安依法处罚2人》  【典型案例】造谣必严惩 定陶网安依法处罚2人  ",,无,无,False,无,无,2024-08-31 19:05,无,0,0,0
OuPHfmQ8S,"转发理由:#微博辟谣# 永宁派出所依法查处1起网络谣言  
原始用户: 石狮公安
转发内容: #夏季行动#【永宁派出所依法查处1起网络谣言】  在夏季治安打击整治行动中，永宁派出所持续加大对全平台网络谣言的打击力度，全力营造清朗网络空间。近日，男子王某在社交网络平台发布“近期某对夫妻在海边溺亡”的不实信息，引发网友关注，造成不良影响。经查，以上为网络谣言，王某对自己的违法行为供认不讳，公安机关依法对其处以行政处罚。#狮城利剑守护平安# http://t.cn/A6RSoXeV 原图 ",,无,https://wx2.sinaimg.cn/large/71115388ly1ht745wk8qvj20si0kx422.jpg,False,无,无,2024-08-31 17:31,无,1,0,0
OuPmGbaBq,"转发理由:#微博辟谣# 黄山公安分局依法查处朱某编造、传播“国家拟批准成立徽州文化特区”网络谣言案  
原始用户: 黄山公安在线
转发内容: 【黄山公安分局依法查处朱某编造、传播“国家拟批准成立徽州文化特区”网络谣言案】近日，黄山网警在工作中发现，有众多网民在网上转发“国家拟批准成立徽州文化特区”的信息。经查证，该不实消息系网民朱某凭空捏造并在互联网传播。目前，朱某已被黄山公安分局依法行政拘留。  原图 ",,无,https://wx1.sinaimg.cn/large/903147dagy1ht5plzcscuj20u00n175p.jpg,False,无,无,2024-08-31 16:41,无,0,0,0
OuPfHqbtV,"转发理由:#微博辟谣# 官方辟谣网传逆行打人路虎女司机是社区副书记：社区领导根本没这个人！  
原始用户: 时间视频
转发内容: #官方辟谣打人路虎司机是社区副书记#【官方辟谣网传逆行打人路虎女司机是社区副书记：社区领导根本没这个人！】#官方辟谣路虎逆行打人女司机在家拘留# #被逆行女司机打伤男子若还手如何定性#近日，山东青岛一女子驾驶路虎逆行插队还打人被拘留10日罚款1000元。有网友指出，女子是王哥庄街道青山社区副书记王某。31日，王哥庄街道办工作人员辟谣称，网传信息与实际不符，社区领导根本没这个人。此前据澎湃新闻报道，网传打人女子为崂山区城市运行服务中心副主任王某，30日崂山区城管局对此辟谣称，该消息不实，并非同一人，已报警处理。#遭逆行女子殴打者称已申请伤情鉴定# http://t.cn/A6RSZntv ",,无,无,False,无,无,2024-08-31 16:23,无,3,2,1
OuP8LtGZq,"转发理由:#微博辟谣# 榆林高新公安查处3起网络谣言、网络暴力案件   
原始用户: 榆林公安
转发内容: 发布了文章 《榆林高新公安查处3起网络谣言、网络暴力案件》 榆林高新公安查处3起网络谣言、网络暴力案件  ",,无,无,False,无,无,2024-08-31 16:06,无,1,0,0
OuOZyiBH6,"转发理由:#微博辟谣# 长沙6岁小孩被抱走消息是假的，造谣者已被行政处罚  
原始用户: 三湘都市报
转发内容: 【辟谣侠盟｜别传了！#长沙6岁小孩被抱走消息是假的#】8月31日，长沙市公安局官方微信公众号“长沙警事”发布消息：近日，长沙县网民王某某在微信群发布“幸福里润城一名6岁小孩被人抱走”的内容，引发网民关注。经民警核实，王某某为博人眼球，将道听途说的内容编造成“6岁小孩被人抱走”的谣言，引发群众恐慌，造成不良社会影响。    目前，警方已依法对王某某予以行政处罚。    警方提醒：互联网不是法外之地，广大网民应自觉遵守法律法规，规范网上言行，做到不造谣、不信谣、不传谣。 #微博辟谣# （全媒体记者 项炜） http://t.cn/A6RKuHYU http://t.cn/RL8pcv4 ",,无,无,False,无,无,2024-08-31 15:44,无,4,1,0
OuOseC1Q7,#微博辟谣# 公安部网安局|恶意丑化牺牲民警，“纯纯鱼冻”被查！#公安机关查处网络谣言# 恶意丑化牺牲民警，“纯纯鱼冻”被查！  原图 ,,https://wx3.sinaimg.cn/large/6f3f16a9ly1ht71eoi2euj20zk0f50vz.jpg,无,True,无,无,2024-08-31 14:22,无,476,22,145
OuOjpo9eg,"转发理由:#微博辟谣##正义辟谣台# 整理2024年8月流传谣言  
原始用户: 正义网
转发内容: #微博辟谣#【8月#正义辟谣台#丨秋日已到来，扫清谣言正当时】内蒙古呼和浩特市公租房可办理到个人名下？吉林一屠夫因土地纠纷杀害12人？湖南博物院的辛追夫人曲裾式素纱单衣被盗？2024年8月，社会热点话题受到较多关注，相关的谣言也随之发酵。“正义辟谣台”整理了近期流传的谣言，提醒广大网民擦亮双眼，不信谣、不传谣！ 原图 ",,无,https://wx1.sinaimg.cn/large/710c95f3ly1ht6rm38v5qj20m85xp7wi.jpg,False,无,无,2024-08-31 14:00,无,17,2,1
OuO0gqQYz,"转发理由:#微博辟谣# 江苏最忙碌长江大桥下个月收费到期？回应来了  
原始用户: 现代快报
转发内容: #江阴大桥2029年9月停止收费#【江苏最忙碌长江大桥下个月收费到期？回应来了】近日，网传江阴大桥即将在今年收费到期，9月28日起将永久免费。8月30日，@现代快报 记者从相关部门了解到，此消息不实，江阴大桥的收费期限为1999年09月—2029年09月，距离收费截止期限还有5年时间。 江苏最忙碌长江大桥下个月收费到期？回应来了  ",,无,无,False,无,无,2024-08-31 13:13,无,0,1,0
OuNBP9Zrm,"转发理由:#微博辟谣# 赵某某发布“伊川建飞机场了”虚假信息被伊川公安依法查处  
原始用户: 平安伊川
转发内容: # 打击网络谣言 共建清朗家园##豫筑平安 砺剑3号# 【打击网络谣言！】2024年8月29日，赵某某在某短视频平台发布信息称：“伊川建飞机场了。”经查，赵某某为博取眼球，在网上下载他人视频，编造虚假信息并在网络平台发布。伊川公安依法对赵某某予以行政处罚。 @中国警察网 @平安中原 @平安洛阳  原图 ",,无,https://wx4.sinaimg.cn/large/7a5a4c07ly1ht63g5it9ej20zk1xdkjl.jpg,False,无,无,2024-08-31 12:12,无,0,0,0
OuNfg7mvt,"转发理由:#微博辟谣# 网传“轨道环线南桥寺站有人偷拐男孩”系谣言  
原始用户: 重庆辟谣
转发内容: #重庆辟谣##联合辟谣# 【网传“轨道环线南桥寺站有人偷拐男孩”系谣言】8月29日，某网民发布视频信息并配文“在重庆轨道交通南桥寺发生一起偷拐男孩的刑事案件，嫌疑人已被当场控制”。经核实，网传信息系谣言。经向警方核实，视频画面实为8月29日16时40分许，两名乘客在轨道环线南桥寺站因纠纷发生打斗，民警赶到现场将双方带至警务室做进一步调查。目前，谣言线索已转交相关部门对造谣者进行进一步调查处置。@微博辟谣 @中国互联网联合辟谣平台 原图 ",,无,https://wx2.sinaimg.cn/large/008B71pbly1ht62962mg0j30xs1v87ij.jpg,False,无,无,2024-08-31 11:17,无,1,1,0
OuGQvqtrP,"转发理由:#微博辟谣# 广南一学生被老师冤枉偷钱并在殴打后跳楼？系谣言！罚！   
原始用户: 文山网警
转发内容: 《广南一学生被老师冤枉偷钱并在殴打后跳楼？系谣言！罚！》  广南一学生被老师冤枉偷钱并在殴打后跳楼？系谣言！罚！  ",,无,无,False,无,无,2024-08-30 18:59,无,0,0,0
OuGM7iKNO,"转发理由:#微博辟谣# 桐城公安打击网络谣言典型案例  
原始用户: 桐城公安
转发内容: #打击网络谣言共建清朗家园#【桐城公安打击网络谣言典型案例】近日，青草派出所查处一起网民在短视频平台编造传播网络谣言案件。经查，系辖区网民徐某为吸引眼球在抖音平台发布谣言视频称“其于8月21日收到一条短信，具体内容为：【俄罗斯国防部】您已被纳入俄罗斯政府雇佣兵，请您直飞俄罗斯莫斯科转乌克兰投入战斗，日薪20000美元”，该视频引起网民关注，造成不良影响。目前，公安机关已对违法行为人徐某予以行政处罚。 原图 ",,无,https://wx3.sinaimg.cn/large/9f3d9ad8ly1ht60n8zr4xj20v90s4jzf.jpg,False,无,无,2024-08-30 18:49,无,0,0,0
OuGF7mUHB,"转发理由:#微博辟谣#凤里派出所依法查处1起网络谣言  
原始用户: 石狮公安
转发内容: #夏季行动# 【凤里派出所依法查处1起网络谣言】8月21日14时许，温某某通过抖音平台发布押运车辆视频并配文“手头有点紧，想大干一票，如果成功请叫我温总”的言论，造成恶劣影响。经@石狮公安 凤里所依法调查，温某某对其的违法行为供认不讳。目前，公安机关已对温某某进行口头教育并依法予以行政处罚。#警方提醒# 净化网络环境，打击网络谣言，需要广大网民共同努力。提高防范意识，积极抵制网络谣言，做到不造谣、不信谣、不传谣，携手共建清朗网络家园。#狮城利剑守护平安# 原图 ",,无,https://wx4.sinaimg.cn/large/71115388gy1ht604ynwuuj20ii0f0n02.jpg,False,无,无,2024-08-30 18:31,无,0,0,0
OuGxwdgHN,"转发理由:#微博辟谣#【熊猫斩谣（2024年8月30日】  
原始用户: 四川举报辟谣
转发内容: #四川云辟谣# 【熊猫斩谣（2024年8月30日】#微博辟谣#注意！这张“成都延期开学”文件截图，是假的！多吃皂角米能美容养颜？做好5件事，远离肺癌！今天有没有你相信的谣言？快来戳图查看吧！希望大家对未经核实的信息，不轻信、不盲从、不发布、不传播、不评论。     熊猫斩谣（2024年8月30日）  ",,无,无,False,无,无,2024-08-30 18:13,无,0,0,1
OuGtwwsgX,"转发理由:#微博辟谣# 曹县公安公布2起网络谣言及网络暴力典型案例  
原始用户: 曹县网警
转发内容: 《曹县公安公布2起网络谣言及网络暴力典型案例》  曹县公安公布2起网络谣言及网络暴力典型案例  ",,无,无,False,无,无,2024-08-30 18:03,无,0,0,0
